	File Name	String Number	Words Occuring	Sentence Before	Sentence	Sentence After	Important
13179	GebÃ¤udeGrÃ¼n_02_2018.txt	889	satzung	FBB-Präsident Dr. Gunter Mann (links) und DDV-Präsident Carsten Henselek besiegeln mit Handschlag die Verschmelzung und Neugründung.	nen Anlagen wie Satzung und Beitragsordnung des neuen Verbands.	Im Verschmelzungsvertrag wurde unter anderem auch schon das vorgesehene Präsidium aufgeführt.	0
36034	Jahrbuch_BauwerksbegrÃ¼nung_2016.txt	2078	gericht	Mechanische Schäden durch das Versagen von Wuchshilfen infolge einer unterschätzten Gesamtlast (Eigengewicht + Schnee-/Eislast + Windlast) der Begrünung können auch Fremdschäden (Sachschäden, Unfälle) bewirken.	Wuchskonstruktionen sollten daher auf die Lebensdauer der Pflanzen ausgerichtet sein.	Auch die mit dem Pflanzengewicht zunehmende Brandlast einer Begrünung (hoher Totholzanteil, Trockenfall) muss bezüglich Eigen- und Fremdschäden beachtet und durch Pflege vermieden werden.	0
37108	Jahrbuch_BauwerksbegrÃ¼nung_2017.txt	245	gesetz	Michael Aebi	Der Raumbegrüner Michel Aebi hat als Unternehmer und Projektleiter mehrere hundert Raumbegrünungsprojekte geplant und umgesetzt.	Als Einstieg zu seinem Vortrag blickt er kritisch auf die Innovationskraft der Innenbegrünungsbranche.	0
30885	Jahrbuch_BauwerksbegrÃ¼nung_2015.txt	750	§ recht	2 Satz 2 BNatSchG).	· Ersetzt ist eine Beeinträchtigung, wenn und sobald die beeinträchtigten Funktionen des Naturhaushalts in dem betroffenen Naturraum in gleichwertiger Weise hergestellt und das Landschaftsbild landschaftsgerecht neu gestaltet ist (§ 15 Abs.	2 Satz 3 BNatSchG).	1
1764	DDV-Leitfaden-Kommune-Auflage-2-2012.txt	337	bebauungsplan	räumlicher Wirkungsbereich	Instrumente der Bauleitplanung, insbesondere Bebauungsplan (Kap.	1)	0
2113	DDV-Leitfaden-Kommune-Auflage-2-2012.txt	554	satzung	2.	Satzungen	Abb.	0
34707	Jahrbuch_BauwerksbegrÃ¼nung_2016.txt	1136	verbindlich	Teil A ­ Dachbegrünung: · Gibt es in Ihrer Kommune Bebauungspläne, die Dachbegrü-	nungen verbindlich festlegen?	· Gibt es in Ihrer Kommune Zuschüsse für die Errichtung von	1
19151	GebÃ¤udeGrÃ¼n_04_2017.txt	1199	gesetz	sundheits- und umweltgerechte	Baustoffe eingesetzt werden	Quelle: SuSANNe HeRFORT	0
31887	Jahrbuch_BauwerksbegrÃ¼nung_2015.txt	1373	recht	Aus diesem Grund setzt der Verband Region Stuttgart in seiner regionalen Klimaschutz- und Anpassungsstrategie auch auf die Vielfalt der Ansätze und Ebenen.	Der Verband Region Stuttgart ist die politische Ebene der Region Stuttgart in Form einer Körperschaft des öffentlichen Rechts mit einer direkt gewählten Regionalversammlung.	Seine Aufgabe ist es, die Region Stuttgart lebenswert, wirtschaftlich leistungsstark und ökologisch intakt zu erhalten.	1
33081	Jahrbuch_BauwerksbegrÃ¼nung_2016.txt	12	genehmigung	Alle Rechte vorbehalten.	Nachdruck, auch in Auszügen, nur mit ausdrücklicher Genehmigung des Herausgebers und Angabe der Quelle.	1	0
34401	Jahrbuch_BauwerksbegrÃ¼nung_2016.txt	860	recht	"Hierzu wurde eine als Parkband ausgestaltete Rampe entwickelt, die das Dach des Bunkers mit der Feldstraße verbindet und in der Fortsetzung entlang des Aufbaus als ,,Bergpfad"" den öffentlichen Dachpark anbindet."	Das Konzept eines partizipativ geplanten Stadtgartens - mit einem Gleichgewicht aus Schaffung öffentlicher Grünflächen für den Stadtteil und Räumlichkeiten im Inneren - wurde in einem ersten Entwurf entwickelt, mit Hilfe eines anschaulichen Modells dem Eigentümer des Bunkers, Prof. Matzen von der erbpachtberechtigten Matzen KG, vorgestellt und von ihm mit Begeisterung aufgenommen.	Damit begannen die weiteren Planungen zur Realisierung im Austausch mit dem Partizipationsprojekt, dem Eigentümer, der Politik und den Behörden, bei denen früh grundlegende Richtlinien vereinbart wurden, die eine Gemeinnützigkeit, die Beteiligung der Öffentlichkeit und eine finanziell verlässliche Nutzung und den dauerhaft gesicherten Unterhalt gewährleisten.	0
36952	Jahrbuch_BauwerksbegrÃ¼nung_2017.txt	131	gesetz	Jahrhundert zum positiven verändern.	"Aufgrund seiner vielfachen positiven Effekte hat die Bundesregierung das Thema ,,Grün in der Stadt"" erstmals im Jahr 2013 auf die Agenda gesetzt."	"Im Jahr 2015 wurde das ressortübergreifend erarbeitete Grünbuch ,,Grün in der Stadt ­ für eine lebenswerte Zukunft"" veröffentlicht, das den aktuellen Wissensstand zum Themenfeld darstellt."	0
21446	GebÃ¤udeGrÃ¼n_04_2018.txt	1479	recht	munale Gründachförderung als Maßnahme zur Klimaanpassung l Ökopunkte für Gründächer ­ Bewertung verschiedener Dachbegrünungen im Zusammenhang mit Eingriffsregelung und kommunaler Förderung Verdunstungskühlung durch begrünte Dächer l Bewässerungsstrategien bei begrünten Dächern l Neues Verfahren zur vereinfachten Bestimmung des Deckungsgrads bei Extensivbegrünungen l Sicherstellung der positiven Wirkungen von extensiven	Dachbegrünungen durch fachgerechte Pflege und Wartung.	Erste Ergebnisse l Recycling von alten Dachsubstraten l Urban farming auf Dächern l Sicherer Zugang auf Dächer bei Pflege und Wartung	0
5349	DDV-Magazin-Gruendach-Aktuell-1-2018.txt	345	gesetz	Beide Parteien müssen den Zustand der Baustelle und der vom Bauunternehmer erbrachten Bauleistungen in einem schriftlichen Protokoll festhalten.	Erscheint der Besteller zu dem vom Bauunternehmer angesetzten Termin unentschuldigt nicht, kann der Bauunternehmer die Zustandsfeststellung auch ohne den Bauherren in einem Protokoll festhalten und ihm dieses zusenden.	Im Gegensatz zum bisherigen Werkvertragsrecht können Abschlagsrechnungen jetzt in kurzen Abständen gestellt werden.	1
30911	Jahrbuch_BauwerksbegrÃ¼nung_2015.txt	760	§	Für die planerische Bewältigung bedeutet dieses, dass zum frühestmöglichen Zeitpunkt (i. d. R. im Rahmen der frühzeitigen Behördenbeteiligung der Umweltprüfung in der Bauleitplanung gemäß § 4 Abs.	1 BauGB) Hinweise zum Vorkommen solcher Arten nach § 44 Abs.	5 Satz 2 BNatSchG eingeholt werden müssen.	1
32574	Jahrbuch_BauwerksbegrÃ¼nung_2015.txt	1727	steuer	Bei größeren Projekten kann der Wasserdruck mittels einer Druckerhöhungsvorrichtung verstärkt werden.	Das Öffnen und Schließen des elektromagnetischen Ventils kann durch ein autonomeres Programmiermodul oder per Computer und Fernsteuerung geschehen.	Eine Hauptleitung führt das Gießwasser zur Wandbegrünung, zwischengebaute Filter halten Fremdkörper zurück, die die Tropfbewässerung verstopfen könnten, zusätzliche Druckregler sorgen bei Bedarf für konstanten Druck.	0
28661	Jahrbuch_BauwerksbegrÃ¼nung_2014.txt	2699	gesetz	2: Übersicht der Pflanzenverluste 73	4.1.3 Artenvielfalt, Blühaspekt Bei der Pflanzenauswahl wurden von den vier teilnehmenden Firmen unterschiedliche Schwerpunkte gesetzt.	Die Firma Humko hatte 20 Pflanzensorten aus 11 Gattungen bzw.	0
3863	DDV-Leitfaden-Sicherer-Gewerkeuebergang-Auflage-2-2008.txt	355	vorschrift	4.3 Absturzsicherung während der Ausführung Sicherungsmaßnahmen wie Gerüste, Netze oder Geländer sind ab einer Absturzhöhe von 3 m zwingend erforderlich.	Prüfen Sie, ob die Unfallverhütungsvorschriften auf der Dachfläche eingehalten werden.	4.4 Zugänglichkeit zur Dachfläche Für die Installation der Dachbegrünung müssen einfache und sichere Zugangsmöglichkeiten zur Dachfläche geschaffen werden.	1
2049	DDV-Leitfaden-Kommune-Auflage-2-2012.txt	515	gesetz recht regelung	Seite 22) übernommen werden.	EINGRIFFSREGELUNG NACH NATURSCHUTZRECHT Die Eingriffsregelung nach dem Bundesnaturschutzgesetz bezieht sich nur auf Neubauvorhaben im Außenbereich einer Kommune und findet im Gegensatz zur baurechtlichen Eingriffsregelung keine Anwendung im beplanten oder nicht beplanten Innenbereich einer Kommune (vgl.	§18 ff.	1
2298	DDV-Leitfaden-Kommune-Auflage-2-2012.txt	655	steuer	o.)	· Pflanzkübel, Kiesschüttungen, Terrassenbeläge · Umsatzsteuer, sofern diese durch den Antragsteller als Vor-	steuerabzug geltend gemacht werden kann.	1
39959	Jahrbuch_BauwerksbegrÃ¼nung_2017.txt	2409	gericht	Das weltweit erste begrünte Hochhaus, den Commerzbank-Tower in Frankfurt von Sir Norman Foster klimatisiert mit neun Wintergärten die Büros auf 55 Etagen.	Die nach drei Himmelsrichtungen gerichteten Skygärten sind miteinander über den Kern verbunden.	Je nach Tages- oder Jahreszeit wird die Luft von unterschiedlicher Seite her via den Luftsog ins Hochhaus geleitet.	0
24756	GebäudeGrün_01_2018.txt	542	gesetz vorgabe	Absturzsicherung ist Pflicht, doch in welcher Ausführung?	Anton Stenger: Für das Thema Absturzsicherung auf Flachdächern gibt es ganz klare gesetzliche Vorgaben.	Gemäß Arbeitsschutzgesetz § 4 hat permanenter Kollektivschutz oberste Priorität und Vorrang vor individuellen Schutzmaßnahmen.	1
30880	Jahrbuch_BauwerksbegrÃ¼nung_2015.txt	748	gesetz	"Als ,,Eingriffe"" im Sinne des § 14 Abs."	"1 Bundesnaturschutzgesetz (BNatSchG) gelten ,,Veränderungen der Gestalt oder Nutzung von Grundflächen oder Veränderungen des mit der belebten Bodenschicht in Verbindung stehenden Grundwasserspiegels, die die Leistungsund Funktionsfähigkeit des Naturhaushaltes oder das Landschaftsbild erheblich beeinträchtigen können""."	Der Verursacher ist § 15 Abs.	1
13386	GebÃ¤udeGrÃ¼n_02_2018.txt	1128	recht	Live-Blick auf die Leistungen, die Thema Bauwerksbegrünung und Grau werden die technischen Eventideen umzusetzen.	Begrünungen für unsere Stadt bietet auch zielgruppengerechte Details und die Umsetzung der	erbringen.	0
